"pathway","description","log2FC","p_adj","sig","direction"
"PWY-181","photorespiration",-0.825362407521873,0.00942785091112374,"**","GCtS_higher"
"PWY-6071","superpathway of phenylethylamine degradation",-0.831287198170695,0.00698015570873669,"**","GCtS_higher"
"REDCITCYC","TCA cycle VIII (helicobacter)",-0.833931783261705,0.00764096425329104,"**","GCtS_higher"
"PWY-6404","superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis",-0.83953441474145,0.0130113777813232,"*","GCtS_higher"
"GALLATE-DEGRADATION-I-PWY","gallate degradation II",-0.842275485968611,0.0133279661361324,"*","GCtS_higher"
"TYRFUMCAT-PWY","L-tyrosine degradation I",-0.842345260147933,0.00684701613940289,"**","GCtS_higher"
"PWY-6126","superpathway of adenosine nucleotides de novo biosynthesis II",-0.842590287803684,0.00401882711436447,"**","GCtS_higher"
"PWY66-367","ketogenesis",-0.843352110399734,0.0222093903015726,"*","GCtS_higher"
"PWY66-409","superpathway of purine nucleotide salvage",-0.84936431280718,0.00324005728620918,"**","GCtS_higher"
"PWY-6608","guanosine nucleotides degradation III",-0.850864496264037,0.00316782972083854,"**","GCtS_higher"
"PWY0-321","phenylacetate degradation I (aerobic)",-0.854722608620275,0.0106847848229818,"*","GCtS_higher"
"PWY-6435","4-hydroxybenzoate biosynthesis V",-0.854811462178215,0.00621683776141264,"**","GCtS_higher"
"PWY-6595","superpathway of guanosine nucleotides degradation (plants)",-0.858622328729741,0.00320523165254734,"**","GCtS_higher"
"P441-PWY","superpathway of N-acetylneuraminate degradation",-0.859612720423441,0.0144122749737068,"*","GCtS_higher"
"PWY-7376","cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)",-0.860380088147928,0.00320523165254734,"**","GCtS_higher"
"DAPLYSINESYN-PWY","L-lysine biosynthesis I",-0.860569095078614,0.00249553331594007,"**","GCtS_higher"
"PWY-7858",NA,-0.864019154176687,0.00885708305436277,"**","GCtS_higher"
"PWY-5910","superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)",-0.867388164642751,0.0280770678508502,"*","GCtS_higher"
"PWY-922","mevalonate pathway I",-0.870498067853986,0.0274869636175673,"*","GCtS_higher"
"GLUTORN-PWY","L-ornithine biosynthesis",-0.871360684488353,0.00138932711729171,"**","GCtS_higher"
"PWY-7294","xylose degradation IV",-0.875805782234554,0.00633787679714782,"**","GCtS_higher"
"PWY-7328","superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis",-0.882005946700082,0.00450061042100956,"**","GCtS_higher"
"PWY-6946","cholesterol degradation to androstenedione II (cholesterol dehydrogenase)",-0.882053417688825,0.0249955457921126,"*","GCtS_higher"
"PWY-6182","superpathway of salicylate degradation",-0.884173992569883,0.00702510604120035,"**","GCtS_higher"
"P125-PWY","superpathway of (R,R)-butanediol biosynthesis",-0.884901977148821,0.0419866350126449,"*","GCtS_higher"
"PWY-6936","seleno-amino acid biosynthesis",-0.895142233375797,0.00279881611741773,"**","GCtS_higher"
