"site1","site2","p_adj","family","sig"
"Muzzle","Dorsum",0.000747294888192362,"Hungateiclostridiaceae","***"
"Muzzle","Environment",0.260422535621241,"Hungateiclostridiaceae","ns"
"Muzzle","Forehead",0.483004588538404,"Hungateiclostridiaceae","ns"
"Muzzle","Left front pastern",0.0221542923055384,"Hungateiclostridiaceae","*"
"Neck","Dorsum",0.000234386600478365,"Hungateiclostridiaceae","***"
"Neck","Environment",0.212368295032866,"Hungateiclostridiaceae","ns"
"Neck","Forehead",0.937306497677508,"Hungateiclostridiaceae","ns"
"Neck","Left front pastern",0.000584074053883388,"Hungateiclostridiaceae","***"
"Neck","Muzzle",0.423035520285047,"Hungateiclostridiaceae","ns"
"Pectoral area","Dorsum",0.00288530989483871,"Hungateiclostridiaceae","**"
"Pectoral area","Environment",0.313660748990549,"Hungateiclostridiaceae","ns"
"Pectoral area","Forehead",0.957571690042647,"Hungateiclostridiaceae","ns"
"Pectoral area","Left front pastern",0.00171476918817962,"Hungateiclostridiaceae","**"
"Pectoral area","Muzzle",0.423035520285047,"Hungateiclostridiaceae","ns"
"Pectoral area","Neck",0.976965248614044,"Hungateiclostridiaceae","ns"
"Udder","Dorsum",0.0108805129854461,"Hungateiclostridiaceae","*"
"Udder","Environment",0.371129821668154,"Hungateiclostridiaceae","ns"
"Udder","Forehead",0.176513372679706,"Hungateiclostridiaceae","ns"
"Udder","Left front pastern",0.136354431852014,"Hungateiclostridiaceae","ns"
"Udder","Muzzle",0.681145935600343,"Hungateiclostridiaceae","ns"
"Udder","Neck",0.165161720558017,"Hungateiclostridiaceae","ns"
"Udder","Pectoral area",0.212368295032866,"Hungateiclostridiaceae","ns"
"Ventral abdomen","Dorsum",0.000234386600478365,"Hungateiclostridiaceae","***"
"Ventral abdomen","Environment",0.212368295032866,"Hungateiclostridiaceae","ns"
"Ventral abdomen","Forehead",0.000747294888192362,"Hungateiclostridiaceae","***"
"Ventral abdomen","Left front pastern",0.212368295032866,"Hungateiclostridiaceae","ns"
"Ventral abdomen","Muzzle",0.136354431852014,"Hungateiclostridiaceae","ns"
"Ventral abdomen","Neck",0.00153680810814016,"Hungateiclostridiaceae","**"
"Ventral abdomen","Pectoral area",0.00601489942530087,"Hungateiclostridiaceae","**"
"Ventral abdomen","Udder",0.681145935600343,"Hungateiclostridiaceae","ns"
"Environment","Dorsum",0.231674503672217,"Corynebacteriaceae","ns"
"Forehead","Dorsum",0.000188149132486564,"Corynebacteriaceae","***"
"Forehead","Environment",0.231674503672217,"Corynebacteriaceae","ns"
"Left front pastern","Dorsum",0.000188149132486564,"Corynebacteriaceae","***"
"Left front pastern","Environment",0.343652826097588,"Corynebacteriaceae","ns"
"Left front pastern","Forehead",0.750034885760618,"Corynebacteriaceae","ns"
