"family","fpr","tpr","threshold"
"Deinococcaceae",0,0.833333333333333,0.135095199343945
"Deinococcaceae",0,0.8125,0.144280006566448
"Deinococcaceae",0,0.791666666666667,0.15534753482205
"Deinococcaceae",0,0.770833333333333,0.157775757518069
"Deinococcaceae",0,0.75,0.159965331800807
"Deinococcaceae",0,0.729166666666667,0.162512589986942
"Deinococcaceae",0,0.708333333333333,0.167996271623189
"Deinococcaceae",0,0.6875,0.17329038479181
"Deinococcaceae",0,0.666666666666667,0.175928372682819
"Deinococcaceae",0,0.645833333333333,0.178644110355777
"Deinococcaceae",0,0.625,0.186019990749895
"Deinococcaceae",0,0.604166666666667,0.194312571206786
"Deinococcaceae",0,0.583333333333333,0.195909076957051
"Deinococcaceae",0,0.5625,0.197051642229111
"Deinococcaceae",0,0.541666666666667,0.203845696262413
"Deinococcaceae",0,0.520833333333333,0.209737332769491
"Deinococcaceae",0,0.5,0.217796376717657
"Deinococcaceae",0,0.479166666666667,0.231004039273503
"Deinococcaceae",0,0.458333333333333,0.239559021751195
"Deinococcaceae",0,0.4375,0.243459424252358
"Deinococcaceae",0,0.416666666666667,0.256434223107276
"Deinococcaceae",0,0.395833333333333,0.298133003589292
"Deinococcaceae",0,0.375,0.331745728838823
"Deinococcaceae",0,0.354166666666667,0.338333441909552
"Deinococcaceae",0,0.333333333333333,0.349268700914961
"Deinococcaceae",0,0.3125,0.361552689692174
"Deinococcaceae",0,0.291666666666667,0.412931286731942
"Deinococcaceae",0,0.270833333333333,0.465978074252191
"Deinococcaceae",0,0.25,0.643345621631487
"Deinococcaceae",0,0.229166666666667,0.842625489823157
"Deinococcaceae",0,0.208333333333333,0.886630809128304
"Deinococcaceae",0,0.1875,0.908773523227642
"Deinococcaceae",0,0.166666666666667,0.914389422939437
"Deinococcaceae",0,0.145833333333333,0.922749170711604
"Deinococcaceae",0,0.125,0.936888357775336
"Deinococcaceae",0,0.104166666666667,0.943370121690374
"Deinococcaceae",0,0.0833333333333333,0.947036446569609
"Deinococcaceae",0,0.0625,0.950512294648127
"Deinococcaceae",0,0.0416666666666667,0.953138235122261
"Deinococcaceae",0,0.0208333333333333,0.956422195399839
"Deinococcaceae",0,0,Inf
"Intrasporangiaceae",1,1,Inf
"Intrasporangiaceae",0.979166666666667,1,0.0964860021071601
"Intrasporangiaceae",0.958333333333333,1,0.0811641772987552
"Intrasporangiaceae",0.9375,1,0.0694026059729098
"Intrasporangiaceae",0.916666666666667,1,0.0535429590691456
"Intrasporangiaceae",0.895833333333333,1,0.0357888368253245
"Intrasporangiaceae",0.875,1,0.0289212834751764
"Intrasporangiaceae",0.854166666666667,1,0.0260371709388309
"Intrasporangiaceae",0.833333333333333,1,0.0240152779989665
"Intrasporangiaceae",0.8125,1,0.0236849170815462
"Intrasporangiaceae",0.791666666666667,1,0.0229600573220556
"Intrasporangiaceae",0.770833333333333,1,0.0222319967475586
"Intrasporangiaceae",0.75,1,0.0219780139077575
"Intrasporangiaceae",0.729166666666667,1,0.0211680837123953
"Intrasporangiaceae",0.708333333333333,1,0.0201114162156775
"Intrasporangiaceae",0.6875,1,0.0196379675449318
"Intrasporangiaceae",0.666666666666667,1,0.0194459680881107
"Intrasporangiaceae",0.645833333333333,1,0.0181529751236916
